offer_accepted,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,174.50,2,2,1,Yes,1,Medium,High,"Non classifiable"
Yes,1007.50,2,1,2,No,1,High,Low,"Non classifiable"
No,1124.00,4,2,1,Yes,2,High,Low,"Non classifiable"
No,941.00,2,3,1,No,1,High,Low,"Non classifiable"
No,963.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,1477.50,4,2,3,Yes,1,High,Low,"Non classifiable"
No,1331.75,2,3,1,Yes,2,High,Low,"Non classifiable"
Yes,881.25,3,2,1,Yes,1,Low,High,"Non classifiable"
No,864.25,6,2,2,No,1,High,Low,"Non classifiable"
No,1105.75,5,2,1,Yes,1,High,Low,"Non classifiable"
No,1177.25,5,3,1,Yes,1,High,Low,"Non classifiable"
No,996.75,4,2,2,Yes,1,High,Low,"Non classifiable"
No,1069.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,1065.25,4,1,1,No,1,High,Low,"Non classifiable"
No,1096.25,3,2,2,No,2,High,Low,"Non classifiable"
No,354.75,4,4,3,Yes,2,Medium,High,"Non classifiable"
No,1005.75,2,2,2,No,2,High,Low,"Non classifiable"
No,976.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1074.25,4,2,2,Yes,2,Low,High,"Non classifiable"
No,962.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,1059.25,3,3,1,No,1,Low,High,"Non classifiable"
No,1195.50,5,2,2,No,1,Low,High,"Non classifiable"
No,813.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1006.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,918.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,1019.25,4,3,1,No,1,Low,High,"Non classifiable"
No,1360.25,6,3,1,No,2,Low,High,"Non classifiable"
No,865.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,1026.00,3,1,1,Yes,1,Low,High,"Non classifiable"
Yes,1175.50,3,2,2,Yes,1,High,Low,"Non classifiable"
No,364.00,4,2,1,Yes,1,High,Medium,"Non classifiable"
No,786.75,3,2,1,Yes,1,High,Low,"Non classifiable"
Yes,740.75,4,3,1,No,2,High,Low,"Non classifiable"
No,777.50,5,1,1,Yes,1,Low,High,"Non classifiable"
